DATASET_TITLE,National Statistics 2001 Area Classification of Local Authorities: Distance from Centroids,,,,,,FROM,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01
AREA_TYPE,Local Authority,,,,,,TO,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01,6/1/01
GEO_HIERARCHY,NeSS Geography Hierarchy,,,,,,HEADING,Supergroup,Euclidean Distance from Supergroup Centroid,Group,Euclidean Distance from Group Centroid,Subgroup,Euclidean Distance from Subgroup Centroid
,,,,,,,MEASUREMENT_UNIT,Classification,Euclidean Distance,Classification,Euclidean Distance,Classification,Euclidean Distance
,,,,,,,STATISTICAL_UNIT,Areas,Distance,Areas,Distance,Areas,Distance
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
G,East of England,22,Essex,22UB,Basildon,,,5,6.56,5.8,2.95,5.8.15,2.95
G,East of England,22,Essex,22UC,Braintree,,,5,1.76,5.7,2.53,5.7.14,1.55
G,East of England,22,Essex,22UD,Brentwood,,,5,5.74,5.9,3.93,5.9.16,3.93
G,East of England,22,Essex,22UE,Castle Point,,,5,6.53,5.7,7.04,5.7.14,6.48
G,East of England,22,Essex,22UF,Chelmsford,,,5,2.21,5.9,1.6,5.9.16,1.6
G,East of England,22,Essex,22UG,Colchester,,,5,1.3,5.7,2.01,5.7.12,1.52
G,East of England,22,Essex,22UH,Epping Forest,,,5,2.94,5.9,2.69,5.9.16,2.69
G,East of England,22,Essex,22UJ,Harlow,,,5,9.16,5.8,3.04,5.8.15,3.04
G,East of England,22,Essex,22UK,Maldon,,,5,2.75,5.7,3.08,5.7.14,2.48
G,East of England,22,Essex,22UL,Rochford,,,5,5.33,5.9,5.13,5.9.16,5.13
G,East of England,22,Essex,22UN,Tendring,,,6,3.77,6.10,3.77,6.10.17,4.07
G,East of England,22,Essex,22UQ,Uttlesford,,,5,2.27,5.9,1.28,5.9.16,1.28
G,East of England,26,Hertfordshire,26UB,Broxbourne,,,5,4.85,5.8,2.09,5.8.15,2.09
G,East of England,26,Hertfordshire,26UC,Dacorum,,,5,1.75,5.9,1.72,5.9.16,1.72
G,East of England,26,Hertfordshire,26UD,East Hertfordshire,,,5,2.36,5.9,0.83,5.9.16,0.83
G,East of England,26,Hertfordshire,26UE,Hertsmere,,,5,2.72,5.9,1.86,5.9.16,1.86
G,East of England,26,Hertfordshire,26UF,North Hertfordshire,,,5,1.41,5.9,1.44,5.9.16,1.44
G,East of England,26,Hertfordshire,26UG,St Albans,,,5,4.82,5.9,1.81,5.9.16,1.81
G,East of England,26,Hertfordshire,26UH,Stevenage,,,5,7.95,5.8,2.44,5.8.15,2.44
G,East of England,26,Hertfordshire,26UJ,Three Rivers,,,5,2.12,5.9,1.14,5.9.16,1.14
G,East of England,26,Hertfordshire,26UK,Watford,,,1,5.82,1.3,3.61,1.3.5,1.98
G,East of England,26,Hertfordshire,26UL,Welwyn Hatfield,,,5,3.45,5.7,4.49,5.7.12,2.7
G,East of England,33,Norfolk,33UB,Breckland,,,5,2.51,5.7,1.79,5.7.13,1.25
G,East of England,33,Norfolk,33UC,Broadland,,,5,2.92,5.7,2.23,5.7.13,2.25
G,East of England,33,Norfolk,33UD,Great Yarmouth,,,6,3.93,6.10,3.93,6.10.18,2
G,East of England,33,Norfolk,33UE,King's Lynn and West Norfolk,,,5,3.79,5.7,2.47,5.7.13,1.39
G,East of England,33,Norfolk,33UF,North Norfolk,,,6,1.8,6.10,1.8,6.10.17,1.02
G,East of England,33,Norfolk,33UG,Norwich,,,1,4.78,1.1,2.41,1.1.1,2.41
G,East of England,33,Norfolk,33UH,South Norfolk,,,5,2.45,5.7,1.7,5.7.13,1.06
G,East of England,42,Suffolk,42UB,Babergh,,,5,1.2,5.7,0.83,5.7.13,0.61
G,East of England,42,Suffolk,42UC,Forest Heath,,,5,8.94,5.8,8.54,5.8.15,8.54
G,East of England,42,Suffolk,42UD,Ipswich,,,5,6.42,5.8,3.27,5.8.15,3.27
G,East of England,42,Suffolk,42UE,Mid Suffolk,,,5,2.25,5.7,1.93,5.7.14,1.62
G,East of England,42,Suffolk,42UF,St Edmundsbury,,,5,1.34,5.7,1.09,5.7.14,1.07
G,East of England,42,Suffolk,42UG,Suffolk Coastal,,,5,2.58,5.7,1.91,5.7.13,1
G,East of England,42,Suffolk,42UH,Waveney,,,6,2.34,6.10,2.34,6.10.18,1.76
H,London,,,00AA,City of London,,,..,..,..,..,..,..
H,London,,,00AB,Barking and Dagenham,,,1,16.84,1.2,14.61,1.2.3,8.95
H,London,,,00AC,Barnet,,,2,4.1,2.4,4.1,2.4.6,3.89
H,London,,,00AD,Bexley,,,5,8.02,5.8,3.91,5.8.15,3.91
H,London,,,00AE,Brent,,,4,14.43,4.6,14.43,4.6.11,4.04
H,London,,,00AF,Bromley,,,1,8.17,1.3,5.57,1.3.5,3.41
H,London,,,00AG,Camden,,,3,5.42,3.5,5.42,3.5.8,5.72
H,London,,,00AH,Croydon,,,2,6.87,2.4,6.87,2.4.7,1.29
H,London,,,00AJ,Ealing,,,2,4.13,2.4,4.13,2.4.6,3.83
H,London,,,00AK,Enfield,,,2,3.35,2.4,3.35,2.4.7,2.21
H,London,,,00AL,Greenwich,,,2,10.06,2.4,10.06,2.4.7,2.82
H,London,,,00AM,Hackney,,,4,5.19,4.6,5.19,4.6.10,4.36
H,London,,,00AN,Hammersmith and Fulham,,,3,3.56,3.5,3.56,3.5.8,2.17
H,London,,,00AP,Haringey,,,4,3.87,4.6,3.87,4.6.10,4.84
H,London,,,00AQ,Harrow,,,2,7.67,2.4,7.67,2.4.6,3.8
H,London,,,00AR,Havering,,,5,7.19,5.8,5.02,5.8.15,5.02
H,London,,,00AS,Hillingdon,,,1,6.36,1.3,4.92,1.3.5,3.46
